ambiguidade_proxima,ano_tabela_pbev,autopreencher,busca_resgate_acionada,candidato,candidatos_busca_principal,candidatos_busca_resgate,cobertura_pbev,consumo_eletrico_kwh_km,contrato_localizacao_ou_ausencia_atendido,criterio_match,descartados_prefiltro_identidade,dominante,erros,etanol_cidade_km_l,gasolina_cidade_km_l,gasolina_diesel_cidade_km_l,id,id_pbev,identidade_tecnica_forte,motivo,nivel_match,origem,registros_avaliados_marca,registros_marca,score,score_bruto,status_execucao,status_v45,tecnica_suficiente_para_consumo,tipo_consumo,tokens_fortes_fipe,tokens_fortes_pbev
False,2026,True,False,COROLLA CROSS XRE 20,127,380,exata,,True,exato,0,True,[],7.9,11.5,,corolla_cross_xre_zero_km,PBEV-2026-0196,True,marca compatível; zero km FIPE: ano PBEV mais recente compatível priorizado; família comercial textual compatível: COROLLA; carroceria compatível; designação comercial exata; modelo/família compatível; combustível flex compatível; versão/acabamento compatível; motor compatível; transmissão automática/CVT compatível,alto,regressao_v42_homologada,127,507,100.0,181.0,APROVADO,regressao_protegida,True,flex,[],[]
False,2026,True,False,SONG PLUS PREM DM,14,66,exata,0.186111,True,exato,0,True,[],,,12.2,song_plus_phev,PBEV-2026-0247,True,marca compatível; zero km FIPE: ano PBEV mais recente compatível priorizado; família comercial textual compatível: SONG; designação comercial parcialmente compatível; modelo/família compatível; PHEV/plugin compatível; versão/acabamento compatível; motor compatível; transmissão compatível,alto,regressao_v42_homologada,14,80,100.0,161.0,APROVADO,regressao_protegida,True,phev,[],[]
False,2026,True,False,HB20 LIMITED,136,347,exata,,True,exato,0,True,[],9.2,13.2,,hb20_hatch,PBEV-2026-0016,True,marca compatível; ano PBEV igual ao ano-modelo FIPE; token forte de modelo compatível: HB20; designação comercial exata; número/modelo compatível; modelo/família compatível; combustível flex compatível; versão/acabamento compatível; motor compatível; transmissão compatível; turbo compatível,alto,regressao_v42_homologada,136,483,100.0,188.0,APROVADO,regressao_protegida,True,flex,"[""HB20""]","[""HB20""]"
False,2026,True,False,HB20S LIMITED,104,379,exata,,True,exato,0,True,[],9.2,13.0,,hb20s_sedan,PBEV-2026-0085,True,marca compatível; ano PBEV igual ao ano-modelo FIPE; token forte de modelo compatível: HB20S; designação comercial exata; número/modelo compatível; modelo/família compatível; combustível flex compatível; versão/acabamento compatível; motor compatível; transmissão compatível; turbo compatível,alto,regressao_v42_homologada,104,483,100.0,188.0,APROVADO,regressao_protegida,True,flex,"[""HB20S""]","[""HB20S""]"
False,2026,True,False,DUSTER DUSTER INTP MT,117,450,exata,,True,exato,0,True,[],7.6,11.2,,duster_intense_plus,PBEV-2026-0503,True,marca compatível; ano PBEV igual ao ano-modelo FIPE; família comercial textual parcialmente compatível: DUSTER; designação comercial parcialmente compatível; modelo/família compatível; combustível flex compatível; versão/acabamento compatível; motor compatível; transmissão compatível,alto,regressao_v42_homologada,117,567,100.0,148.0,APROVADO,regressao_protegida,True,flex,[],[]
False,2026,True,False,T1 I-DM ADVANCE,2,4,exata,0.183333,True,exato,0,True,[],,,13.6,jetour_t1,PBEV-2026-0483,True,marca compatível; zero km FIPE: ano PBEV mais recente compatível priorizado; token forte de modelo compatível: T1; designação comercial parcialmente compatível; modelo/família compatível; PHEV/plugin compatível; versão/acabamento compatível; motor compatível; transmissão compatível,alto,regressao_v42_homologada,2,6,100.0,169.0,APROVADO,regressao_protegida,True,phev,"[""T1""]","[""T1""]"
False,2026,True,False,S06 DM ADVANCE,2,4,exata,0.172222,True,exato,0,True,[],,,14.0,jetour_s06,PBEV-2026-0275,True,marca compatível; zero km FIPE: ano PBEV mais recente compatível priorizado; token forte de modelo compatível: S06; designação comercial exata; número/modelo compatível; modelo/família compatível; PHEV/plugin compatível; versão/acabamento compatível; motor compatível; transmissão compatível,alto,regressao_v42_homologada,2,6,100.0,181.0,APROVADO,regressao_protegida,True,phev,"[""S06""]","[""S06""]"
False,2021,True,False,DEFENDER 110 HSE,134,626,equivalente,,True,versoes_equivalentes,0,True,[],,,,defender_d300,PBEV-2021-0785,True,marca compatível; token forte de modelo compatível: 110; designação comercial parcialmente compatível; número/modelo compatível; modelo/família compatível; combustível diesel compatível; versão/acabamento compatível; transmissão compatível; ano PBEV próximo aceito por família técnica equivalente; candidatos próximos têm o mesmo consumo aplicável; ambiguidade não bloqueia; ano distante (2024 x 2021); código técnico da FIPE ausente no PBEV: D300,alto,regressao_v42_homologada,134,760,100.0,127.0,APROVADO,regressao_protegida,True,diesel,"[""110"", ""D300""]","[""110""]"
False,2022,True,False,DISCOVERY SPORT P250FF SERD7,236,524,equivalente,,True,versoes_equivalentes,0,True,[],4.9,7.0,,discovery_sport_p250,PBEV-2022-0520,True,marca compatível; ano PBEV adjacente ao ano-modelo FIPE; família comercial textual parcialmente compatível: DISCOVERY; código técnico compatível: P250; designação comercial parcialmente compatível; modelo/família compatível; combustível flex compatível; versão/acabamento parcialmente compatível; transmissão compatível; candidatos próximos têm o mesmo consumo aplicável; ambiguidade não bloqueia,alto,regressao_v42_homologada,236,760,100.0,134.5,APROVADO,regressao_protegida,True,flex,"[""P250""]","[""P250"", ""SERD7""]"
False,2014,True,False,START PICKUP L,6,0,exata,,True,exato,0,True,[],,9.0,,towner_pickup,PBEV-2014-0552,True,"marca compatível; ano PBEV igual ao ano-modelo FIPE; família comercial textual compatível: START, TOWNER; carroceria compatível; designação comercial exata; modelo/família compatível; combustível gasolina compatível; motor compatível; transmissão compatível",alto,regressao_v42_homologada,6,6,100.0,169.0,APROVADO,regressao_protegida,True,gasolina,[],[]
False,2024,True,False,HURACAN TECNICA,26,20,familia,,True,conservador_por_familia,0,True,[],,5.3,,huracan_sterrato,PBEV-2024-0991,False,marca compatível; ano PBEV igual ao ano-modelo FIPE; família comercial textual compatível: HURACAN; modelo/família compatível; combustível gasolina compatível; motor compatível; transmissão compatível; acabamento divergente,alto,regressao_v42_homologada,26,46,100.0,127.0,APROVADO,regressao_protegida,True,gasolina,[],[]
True,2016,False,False,AVENTADOR,9,37,familia,,True,aproximacao_com_observacao,0,False,[],,3.3,,aventador_ano_distante,PBEV-2016-1061,False,marca compatível; família comercial textual compatível: AVENTADOR; modelo/família compatível; combustível gasolina compatível; motor compatível; transmissão compatível; ano distante (2021 x 2016); carroceria explícita da FIPE ausente no PBEV: CONVERSIVEL; há outro candidato PBEV próximo tecnicamente ambíguo; autofill bloqueado,medio,regressao_v42_homologada,9,46,89.0,102.0,APROVADO,regressao_protegida,True,gasolina,[],[]
False,2015,True,False,DURANGO LIMITED,4,9,familia,,True,conservador_por_familia,0,True,[],,6.5,,durango_fallback_familia,PBEV-2015-0374,False,marca compatível; família comercial textual compatível: DURANGO; modelo/família compatível; combustível gasolina compatível; motor compatível; transmissão compatível; ano PBEV próximo aceito por família técnica equivalente; candidatos próximos têm o mesmo consumo aplicável; ambiguidade não bloqueia; ano distante (2013 x 2015); acabamento divergente,alto,regressao_v42_homologada,4,13,100.0,108.0,APROVADO,regressao_protegida,True,gasolina,[],[]
,,False,True,,18,47,ausente,,True,sem_match,0,,[],,,,ram_2500_sem_cobertura,,,Nenhum candidato PBEV confiável encontrado. 1 candidato(s) foram bloqueados por status/flags.,sem_match,regressao_v42_homologada,65,65,0,,APROVADO,regressao_protegida,,,"[""2500"", ""RAM2500""]",[]
,,False,True,,0,57,ausente,,True,sem_match,0,,[],,,,sf90_sem_cobertura,,,Nenhum candidato PBEV confiável encontrado. 9 candidato(s) foram bloqueados por status/flags.,sem_match,regressao_v42_homologada,57,57,0,,APROVADO,regressao_protegida,,,"[""SF90""]",[]
