autopreencher,candidato,cobertura_pbev,criterio_match,erros,id,motivo,nivel_match,passou
True,COROLLA CROSS XRE 20,exata,exato,,corolla_cross_xre_zero_km,marca compatível; zero km FIPE: ano PBEV mais recente compatível priorizado; família comercial textual compatível: COROLLA; carroceria compatível; designação comercial exata; modelo/família compatível; combustível flex compatível; versão/acabamento compatível; motor compatível; transmissão automática/CVT compatível,alto,True
True,SONG PLUS PREM DM,exata,exato,,song_plus_phev,marca compatível; zero km FIPE: ano PBEV mais recente compatível priorizado; família comercial textual compatível: SONG; designação comercial parcialmente compatível; modelo/família compatível; PHEV/plugin compatível; versão/acabamento compatível; motor compatível; transmissão compatível,alto,True
True,HB20 LIMITED,exata,exato,,hb20_hatch,marca compatível; ano PBEV igual ao ano-modelo FIPE; token forte de modelo compatível: HB20; designação comercial exata; número/modelo compatível; modelo/família compatível; combustível flex compatível; versão/acabamento compatível; motor compatível; transmissão compatível,alto,True
True,HB20S LIMITED,exata,exato,,hb20s_sedan,marca compatível; ano PBEV igual ao ano-modelo FIPE; token forte de modelo compatível: HB20S; designação comercial exata; número/modelo compatível; modelo/família compatível; combustível flex compatível; versão/acabamento compatível; motor compatível; transmissão compatível,alto,True
True,DUSTER DUSTER INTP MT,exata,exato,,duster_intense_plus,marca compatível; ano PBEV igual ao ano-modelo FIPE; família comercial textual parcialmente compatível: DUSTER; designação comercial parcialmente compatível; modelo/família compatível; combustível flex compatível; versão/acabamento compatível; motor compatível; transmissão compatível,alto,True
True,T1 I-DM ADVANCE,exata,exato,,jetour_t1,marca compatível; zero km FIPE: ano PBEV mais recente compatível priorizado; token forte de modelo compatível: T1; designação comercial parcialmente compatível; modelo/família compatível; PHEV/plugin compatível; versão/acabamento compatível; motor compatível; transmissão compatível,alto,True
True,S06 DM ADVANCE,exata,exato,,jetour_s06,marca compatível; zero km FIPE: ano PBEV mais recente compatível priorizado; token forte de modelo compatível: S06; designação comercial exata; número/modelo compatível; modelo/família compatível; PHEV/plugin compatível; versão/acabamento compatível; motor compatível; transmissão compatível,alto,True
True,DEFENDER 110 HSE,equivalente,versoes_equivalentes,,defender_d300,marca compatível; token forte de modelo compatível: 110; designação comercial parcialmente compatível; número/modelo compatível; modelo/família compatível; combustível diesel compatível; versão/acabamento compatível; transmissão compatível; ano PBEV próximo aceito por família técnica equivalente; candidatos próximos têm o mesmo consumo aplicável; ambiguidade não bloqueia; ano distante (2024 x 2021); código técnico da FIPE ausente no PBEV: D300,alto,True
True,DISCOVERY SPORT P250FF SERD7,equivalente,versoes_equivalentes,,discovery_sport_p250,marca compatível; ano PBEV adjacente ao ano-modelo FIPE; família comercial textual parcialmente compatível: DISCOVERY; código técnico compatível: P250; designação comercial parcialmente compatível; modelo/família compatível; combustível flex compatível; versão/acabamento parcialmente compatível; transmissão compatível; candidatos próximos têm o mesmo consumo aplicável; ambiguidade não bloqueia,alto,True
True,START PICKUP L,exata,exato,,towner_pickup,"marca compatível; ano PBEV igual ao ano-modelo FIPE; família comercial textual compatível: START, TOWNER; carroceria compatível; designação comercial exata; modelo/família compatível; combustível gasolina compatível; motor compatível; transmissão compatível",alto,True
