candidato,criterio_match,id,marca,modelo_consulta,motivo,nivel_match,passou
UNO MILLE FIRE ECONOMY 2 PORTAS,versoes_equivalentes,2012 | FIAT | UNO | MILLE FIRE ECONOMY 2 PORTAS | 1 0 8V | M-5 | FLEX,FIAT,Uno Mille Fire Economy 2 Portas 1.0-8V M-5,"marca compatível; ano PBEV igual ao ano-modelo FIPE; família comercial textual compatível: ECONOMY, MILLE, UNO; designação comercial exata; modelo/família compatível; combustível flex compatível; versão/acabamento compatível; motor compatível; transmissão compatível; candidatos próximos têm o mesmo consumo aplicável; ambiguidade não bloqueia",alto,True
UNO MILLE FIRE ECONOMY 2 PORTAS,versoes_equivalentes,2012 | FIAT | UNO | MILLE FIRE ECONOMY 4 PORTAS | 1 0 8V | M-5 | FLEX,FIAT,Uno Mille Fire Economy 4 Portas 1.0-8V M-5,"marca compatível; ano PBEV igual ao ano-modelo FIPE; família comercial textual compatível: ECONOMY, MILLE, UNO; designação comercial exata; modelo/família compatível; combustível flex compatível; versão/acabamento compatível; motor compatível; transmissão compatível; candidatos próximos têm o mesmo consumo aplicável; ambiguidade não bloqueia",alto,True
UNO MILLE WAY ECONOMY 2 PORTAS,versoes_equivalentes,2012 | FIAT | UNO | MILLE WAY ECONOMY 2 PORTAS | 1 0 8V | M-5 | FLEX,FIAT,Uno Mille Way Economy 2 Portas 1.0-8V M-5,"marca compatível; ano PBEV igual ao ano-modelo FIPE; família comercial textual compatível: ECONOMY, MILLE, UNO, WAY; designação comercial exata; modelo/família compatível; combustível flex compatível; motor compatível; transmissão compatível; candidatos próximos têm o mesmo consumo aplicável; ambiguidade não bloqueia",alto,True
UNO MILLE WAY ECONOMY 2 PORTAS,versoes_equivalentes,2012 | FIAT | UNO | MILLE WAY ECONOMY 4 PORTAS | 1 0 8V | M-5 | FLEX,FIAT,Uno Mille Way Economy 4 Portas 1.0-8V M-5,"marca compatível; ano PBEV igual ao ano-modelo FIPE; família comercial textual compatível: ECONOMY, MILLE, UNO, WAY; designação comercial exata; modelo/família compatível; combustível flex compatível; motor compatível; transmissão compatível; candidatos próximos têm o mesmo consumo aplicável; ambiguidade não bloqueia",alto,True
NOVO UNO ECONOMY EVO 2 PORTAS,versoes_equivalentes,2012 | FIAT | NOVO UNO | ECONOMY EVO 2 PORTAS | 1 4 8V | M-5 | FLEX,FIAT,Novo Uno Economy Evo 2 portas 1.4-8V M-5,"marca compatível; ano PBEV igual ao ano-modelo FIPE; família comercial textual compatível: ECONOMY, UNO; designação comercial exata; modelo/família compatível; combustível flex compatível; versão/acabamento compatível; motor compatível; transmissão compatível; candidatos próximos têm o mesmo consumo aplicável; ambiguidade não bloqueia",alto,True
NOVO UNO ECONOMY EVO 2 PORTAS,versoes_equivalentes,2012 | FIAT | NOVO UNO | ECONOMY EVO 4 PORTAS | 1 4 8V | M-5 | FLEX,FIAT,Novo Uno Economy Evo 4 portas 1.4-8V M-5,"marca compatível; ano PBEV igual ao ano-modelo FIPE; família comercial textual compatível: ECONOMY, UNO; designação comercial exata; modelo/família compatível; combustível flex compatível; versão/acabamento compatível; motor compatível; transmissão compatível; candidatos próximos têm o mesmo consumo aplicável; ambiguidade não bloqueia",alto,True
NOVO UNO VIVACE EVO 2 PORTAS,versoes_equivalentes,2012 | FIAT | NOVO UNO | VIVACE EVO 2 PORTAS | 1 0 8V | M-5 | FLEX,FIAT,Novo Uno Vivace Evo 2 portas 1.0-8V M-5,"marca compatível; ano PBEV igual ao ano-modelo FIPE; família comercial textual compatível: UNO, VIVACE; designação comercial exata; modelo/família compatível; combustível flex compatível; versão/acabamento compatível; motor compatível; transmissão compatível; candidatos próximos têm o mesmo consumo aplicável; ambiguidade não bloqueia",alto,True
NOVO UNO VIVACE EVO 2 PORTAS,versoes_equivalentes,2012 | FIAT | NOVO UNO | VIVACE EVO 4 PORTAS | 1 0 8V | M-5 | FLEX,FIAT,Novo Uno Vivace Evo 4 portas 1.0-8V M-5,"marca compatível; ano PBEV igual ao ano-modelo FIPE; família comercial textual compatível: UNO, VIVACE; designação comercial exata; modelo/família compatível; combustível flex compatível; versão/acabamento compatível; motor compatível; transmissão compatível; candidatos próximos têm o mesmo consumo aplicável; ambiguidade não bloqueia",alto,True
NOVO UNO ATTRACTIVE EVO 2 PORTAS,versoes_equivalentes,2012 | FIAT | NOVO UNO | ATTRACTIVE EVO 2 PORTAS | 1 4 8V | M-5 | FLEX,FIAT,Novo Uno Attractive Evo 2 portas 1.4-8V M-5,"marca compatível; ano PBEV igual ao ano-modelo FIPE; família comercial textual compatível: ATTRACTIVE, UNO; designação comercial exata; modelo/família compatível; combustível flex compatível; versão/acabamento compatível; motor compatível; transmissão compatível; candidatos próximos têm o mesmo consumo aplicável; ambiguidade não bloqueia",alto,True
NOVO UNO ATTRACTIVE EVO 2 PORTAS,versoes_equivalentes,2012 | FIAT | NOVO UNO | ATTRACTIVE EVO 4 PORTAS | 1 4 8V | M-5 | FLEX,FIAT,Novo Uno Attractive Evo 4 portas 1.4-8V M-5,"marca compatível; ano PBEV igual ao ano-modelo FIPE; família comercial textual compatível: ATTRACTIVE, UNO; designação comercial exata; modelo/família compatível; combustível flex compatível; versão/acabamento compatível; motor compatível; transmissão compatível; candidatos próximos têm o mesmo consumo aplicável; ambiguidade não bloqueia",alto,True
PALIO FIRE ECONOMY 2 PORTAS,versoes_equivalentes,2012 | FIAT | PALIO | FIRE ECONOMY 2 PORTAS | 1 0 8V | M-5 | FLEX,FIAT,Palio Fire Economy 2 Portas 1.0-8V M-5,"marca compatível; ano PBEV igual ao ano-modelo FIPE; família comercial textual compatível: ECONOMY, PALIO; designação comercial exata; modelo/família compatível; combustível flex compatível; versão/acabamento compatível; motor compatível; transmissão compatível; candidatos próximos têm o mesmo consumo aplicável; ambiguidade não bloqueia",alto,True
PALIO FIRE ECONOMY 2 PORTAS,versoes_equivalentes,2012 | FIAT | PALIO | FIRE ECONOMY 4 PORTAS | 1 0 8V | M-5 | FLEX,FIAT,Palio Fire Economy 4 Portas 1.0-8V M-5,"marca compatível; ano PBEV igual ao ano-modelo FIPE; família comercial textual compatível: ECONOMY, PALIO; designação comercial exata; modelo/família compatível; combustível flex compatível; versão/acabamento compatível; motor compatível; transmissão compatível; candidatos próximos têm o mesmo consumo aplicável; ambiguidade não bloqueia",alto,True
500 CULT,exato,2012 | FIAT | 500 | CULT | 1 4 8V | M-5 | FLEX,FIAT,500 Cult 1.4-8V M-5,marca compatível; ano PBEV igual ao ano-modelo FIPE; token forte de modelo compatível: 500; designação comercial exata; número/modelo compatível; modelo/família compatível; combustível flex compatível; versão/acabamento compatível; motor compatível; transmissão compatível,alto,True
500 CULT DUALOGIC,exato,2012 | FIAT | 500 | CULT DUALOGIC | 1 4 8V | MTA-5 | FLEX,FIAT,500 Cult Dualogic 1.4-8V MTA-5,marca compatível; ano PBEV igual ao ano-modelo FIPE; token forte de modelo compatível: 500; designação comercial exata; número/modelo compatível; modelo/família compatível; combustível flex compatível; versão/acabamento compatível; motor compatível; transmissão compatível,alto,True
KA BASE,exato,2012 | FORD | KA | BASE | 1 0 8V | M-5 | FLEX,FORD,Ka Base 1.0-8V M-5,marca compatível; ano PBEV igual ao ano-modelo FIPE; designação comercial exata; modelo/família compatível; combustível flex compatível; versão/acabamento compatível; motor compatível; transmissão compatível,alto,True
KA PULSE,exato,2012 | FORD | KA | PULSE | 1 0 8V | M-5 | FLEX,FORD,Ka Pulse 1.0-8V M-5,marca compatível; ano PBEV igual ao ano-modelo FIPE; designação comercial exata; modelo/família compatível; combustível flex compatível; versão/acabamento compatível; motor compatível; transmissão compatível,alto,True
KA CLASS,exato,2012 | FORD | KA | CLASS | 1 0 8V | M-5 | FLEX,FORD,Ka Class 1.0-8V M-5,marca compatível; ano PBEV igual ao ano-modelo FIPE; designação comercial exata; modelo/família compatível; combustível flex compatível; versão/acabamento compatível; motor compatível; transmissão compatível,alto,True
PICANTO EX4,exato,2012 | KIA | PICANTO | EX4 | 1 0 12V | M-5 | FLEX,KIA,Picanto EX4 1.0-12V M-5,marca compatível; ano PBEV igual ao ano-modelo FIPE; token forte de modelo compatível: EX4; designação comercial exata; modelo/família compatível; combustível flex compatível; motor compatível; transmissão compatível,alto,True
PICANTO LX4,exato,2012 | KIA | PICANTO | LX4 | 1 0 12V | M-5 | FLEX,KIA,Picanto LX4 1.0-12V M-5,marca compatível; ano PBEV igual ao ano-modelo FIPE; token forte de modelo compatível: LX4; designação comercial exata; modelo/família compatível; combustível flex compatível; motor compatível; transmissão compatível,alto,True
PICANTO EX4,exato,2012 | KIA | PICANTO | EX4 | 1 0 12V | A-4 | FLEX,KIA,Picanto EX4 1.0-12V A-4,marca compatível; ano PBEV igual ao ano-modelo FIPE; token forte de modelo compatível: EX4; designação comercial exata; modelo/família compatível; combustível flex compatível; motor compatível; transmissão compatível,alto,True
PICANTO LX4,exato,2012 | KIA | PICANTO | LX4 | 1 0 12V | A-4 | FLEX,KIA,Picanto LX4 1.0-12V A-4,marca compatível; ano PBEV igual ao ano-modelo FIPE; token forte de modelo compatível: LX4; designação comercial exata; modelo/família compatível; combustível flex compatível; motor compatível; transmissão compatível,alto,True
CLIO CAMPUS 3 PORTAS,versoes_equivalentes,2012 | RENAULT | CLIO | CAMPUS 3 PORTAS | 1 0 16V | M-5 | FLEX,RENAULT,Clio Campus 3 Portas 1.0-16V M-5,"marca compatível; ano PBEV igual ao ano-modelo FIPE; família comercial textual compatível: CAMPUS, CLIO; designação comercial exata; modelo/família compatível; combustível flex compatível; motor compatível; transmissão compatível; candidatos próximos têm o mesmo consumo aplicável; ambiguidade não bloqueia",alto,True
