ambiguidade_proxima,ano_tabela_pbev,autopreencher,busca_resgate_acionada,candidato,candidatos_busca_principal,candidatos_busca_resgate,cobertura_pbev,consumo_eletrico_kwh_km,contrato_localizacao_ou_ausencia_atendido,criterio_match,descartados_prefiltro_identidade,dominante,erros,etanol_cidade_km_l,gasolina_cidade_km_l,gasolina_diesel_cidade_km_l,id,id_pbev,identidade_tecnica_forte,motivo,nivel_match,origem,registros_avaliados_marca,registros_marca,score,score_bruto,status_execucao,status_v45,tecnica_suficiente_para_consumo,tipo_consumo,tokens_fortes_fipe,tokens_fortes_pbev
False,2026,True,False,COROLLA CROSS XRE 20,133,0,exata,,True,exato,0,True,[],7.9,11.5,,corolla_cross_xre_zero_km,PBEV-2026-0196,True,"marca compatível; família/modelo compatível: COROLLA, CROSS; descritor estrutural de modelo compatível; cilindrada compatível; válvulas compatíveis; transmissão compatível; propulsão ICE compatível; combustível flex compatível; acabamento/designação parcialmente compatível: XRE; candidato dominante sobre o segundo colocado",alto,regressao_v42_homologada,133,507,100.0,105.67,APROVADO,regressao_protegida,True,flex,[],[]
False,2026,True,False,SONG PLUS GS DM,80,0,familia,0.2,True,conservador_por_familia,0,True,[],,,12.0,song_plus_phev,PBEV-2026-0246,True,"marca compatível; família/modelo compatível: PLUS, SONG; descritor estrutural de modelo compatível; cilindrada compatível; transmissão compatível; propulsão PHEV compatível; combustível gasolina compatível; acabamento/designação parcialmente compatível: PLUS; candidatos tecnicamente equivalentes resolvidos pelo critério conservador autorizado; candidato dominante sobre o segundo colocado",alto,regressao_v42_homologada,80,80,98.97,98.97,APROVADO,regressao_protegida,True,phev,[],[]
False,2026,True,False,HB20 LIMITED,137,0,exata,,True,exato,0,True,[],9.2,13.2,,hb20_hatch,PBEV-2026-0016,True,marca compatível; família/modelo compatível: HB20; identificador alfanumérico compatível: HB20; cilindrada compatível; válvulas compatíveis; turbo compatível; transmissão compatível; propulsão ICE compatível; combustível flex compatível; acabamento/designação parcialmente compatível: LIMITED; ano PBEV igual ao ano-modelo FIPE; candidato dominante sobre o segundo colocado,alto,regressao_v42_homologada,137,483,100.0,111.73,APROVADO,regressao_protegida,True,flex,"[""HB20""]","[""HB20""]"
False,2026,True,False,HB20S LIMITED,120,0,exata,,True,exato,0,True,[],9.2,13.0,,hb20s_sedan,PBEV-2026-0085,True,marca compatível; família/modelo compatível: HB20S; identificador alfanumérico compatível: HB20S; cilindrada compatível; válvulas compatíveis; turbo compatível; transmissão compatível; propulsão ICE compatível; combustível flex compatível; acabamento/designação parcialmente compatível: LIMITED; ano PBEV igual ao ano-modelo FIPE; candidato dominante sobre o segundo colocado,alto,regressao_v42_homologada,120,483,100.0,112.01,APROVADO,regressao_protegida,True,flex,"[""HB20S""]","[""HB20S""]"
False,2026,True,False,DUSTER DUSTER INTP MT,120,0,exata,,True,exato,0,True,[],7.6,11.2,,duster_intense_plus,PBEV-2026-0503,True,"marca compatível; família/modelo compatível: DUSTER; cilindrada compatível; válvulas compatíveis; transmissão compatível; propulsão ICE compatível; combustível flex compatível; acabamento/designação parcialmente compatível: INTENSE, PLUS; ano PBEV igual ao ano-modelo FIPE; candidato dominante sobre o segundo colocado",alto,regressao_v42_homologada,120,567,100.0,103.4,APROVADO,regressao_protegida,True,flex,[],[]
False,2026,True,False,T1 I-DM ADVANCE,6,0,exata,0.183333,True,exato,0,True,[],,,13.6,jetour_t1,PBEV-2026-0483,True,marca compatível; família/modelo compatível: T1; identificador alfanumérico compatível: T1; cilindrada compatível; transmissão compatível; propulsão PHEV compatível; combustível gasolina compatível; acabamento/designação parcialmente compatível: ADVANCE; candidato dominante sobre o segundo colocado,alto,regressao_v42_homologada,6,6,92.16,92.16,APROVADO,regressao_protegida,True,phev,"[""T1""]","[""T1""]"
False,2026,True,False,S06 DM ADVANCE,6,0,exata,0.172222,True,exato,0,True,[],,,14.0,jetour_s06,PBEV-2026-0275,True,marca compatível; família/modelo compatível: S06; identificador alfanumérico compatível: S06; cilindrada compatível; transmissão compatível; propulsão PHEV compatível; combustível gasolina compatível; acabamento/designação parcialmente compatível: ADVANCE; candidato dominante sobre o segundo colocado,alto,regressao_v42_homologada,6,6,93.56,93.56,APROVADO,regressao_protegida,True,phev,"[""S06""]","[""S06""]"
False,2024,True,False,DEFENDER 110 HSE XD,135,0,exata,,True,exato,0,True,[],,,,defender_d300,PBEV-2024-0734,True,"marca compatível; família/modelo compatível: DEFENDER, DEFENDER110; transmissão compatível; propulsão HEV compatível; combustível diesel compatível; acabamento/designação parcialmente compatível: HSE; designação comercial de potência compatível: 110; ano PBEV igual ao ano-modelo FIPE; candidatos tecnicamente equivalentes possuem o mesmo consumo; decisão automática; candidato dominante sobre o segundo colocado",alto,regressao_v42_homologada,135,760,92.61,92.61,APROVADO,regressao_protegida,True,diesel,"[""D300""]",[]
False,2022,True,False,DISCOVERY SPORT P250FF S,191,0,familia,,True,conservador_por_familia,0,True,[],4.1,7.0,,discovery_sport_p250,PBEV-2022-0515,True,marca compatível; família/modelo compatível: DISCOVERY; transmissão compatível; propulsão ICE compatível; combustível flex compatível; acabamento/designação parcialmente compatível: SPORT; designação comercial de potência compatível: P250; ano PBEV adjacente ao ano-modelo FIPE; candidatos tecnicamente equivalentes resolvidos pelo critério conservador autorizado; candidato dominante sobre o segundo colocado,alto,regressao_v42_homologada,191,760,86.16,86.16,APROVADO,regressao_protegida,True,flex,[],[]
False,2014,True,False,START PICKUP L,6,0,familia,,True,conservador_por_familia,0,True,[],,8.7,,towner_pickup,PBEV-2014-0552,True,"marca compatível; família/modelo compatível: START, TOWNER; cilindrada compatível; transmissão compatível; carroceria compatível; propulsão ICE compatível; combustível gasolina compatível; ano PBEV igual ao ano-modelo FIPE; candidatos tecnicamente equivalentes resolvidos pelo critério conservador autorizado; candidato dominante sobre o segundo colocado",alto,regressao_v42_homologada,6,6,94.63,94.63,APROVADO,regressao_protegida,True,gasolina,[],[]
False,2024,True,False,HURACAN TECNICA,46,0,familia,,True,conservador_por_familia,0,True,[],,5.3,,huracan_sterrato,PBEV-2024-0991,True,marca compatível; família/modelo compatível: HURACAN; cilindrada compatível; transmissão compatível; propulsão ICE compatível; combustível gasolina compatível; ano PBEV igual ao ano-modelo FIPE; candidato dominante sobre o segundo colocado,alto,regressao_v42_homologada,46,46,91.94,91.94,APROVADO,regressao_protegida,True,gasolina,[],[]
False,2019,False,False,AVENTADOR S SV SVR,46,0,familia,,True,aproximacao_com_observacao,0,True,[],,4.5,,aventador_ano_distante,PBEV-2019-0665,True,marca compatível; família/modelo compatível: AVENTADOR; cilindrada compatível; transmissão compatível; propulsão ICE compatível; combustível gasolina compatível; candidato dominante sobre o segundo colocado; relação de ano insuficiente para autofill,medio,regressao_v42_homologada,46,46,81.62,81.62,APROVADO,regressao_protegida,True,gasolina,[],[]
False,2015,True,False,DURANGO LIMITED,13,0,familia,,True,conservador_por_familia,0,True,[],,6.5,,durango_fallback_familia,PBEV-2015-0374,True,marca compatível; família/modelo compatível: DURANGO; cilindrada compatível; válvulas compatíveis; transmissão compatível; propulsão ICE compatível; combustível gasolina compatível; candidato dominante sobre o segundo colocado,alto,regressao_v42_homologada,13,13,83.72,83.72,APROVADO,regressao_protegida,True,gasolina,[],[]
False,,False,False,,65,0,ausente,,True,sem_match,0,False,[],,,,ram_2500_sem_cobertura,,False,Nenhum candidato PBEV tecnicamente defensável foi localizado.,sem_match,regressao_v42_homologada,65,65,0.0,0.0,APROVADO,regressao_protegida,False,,"[""RAM2500""]",[]
False,,False,False,,57,0,ausente,,True,sem_match,0,False,[],,,,sf90_sem_cobertura,,False,Nenhum candidato PBEV tecnicamente defensável foi localizado.,sem_match,regressao_v42_homologada,57,57,0.0,0.0,APROVADO,regressao_protegida,False,,"[""SF90""]",[]
False,2022,True,False,F8 SPIDER,57,0,exata,,True,exato,0,True,[],,5.6,,f8_spider_potencia_secundaria,PBEV-2022-0741,True,marca compatível; família/modelo compatível: F8; identificador alfanumérico compatível: F8; cilindrada compatível; propulsão ICE compatível; combustível gasolina compatível; acabamento/designação parcialmente compatível: SPIDER; ano PBEV igual ao ano-modelo FIPE; candidato dominante sobre o segundo colocado; turbo FIPE não confirmado no PBEV; designação comercial FIPE não confirmada no PBEV: 720CV,alto,regressao_v42_homologada,57,57,94.55,94.55,APROVADO,regressao_protegida,True,gasolina,"[""F8""]","[""F8""]"
False,2024,True,False,ROMA --,57,0,exata,,True,exato,0,True,[],,6.9,,ferrari_roma_potencia_secundaria,PBEV-2024-0980,True,marca compatível; família/modelo compatível: ROMA; cilindrada compatível; propulsão ICE compatível; combustível gasolina compatível; ano PBEV igual ao ano-modelo FIPE; candidato dominante sobre o segundo colocado; designação comercial FIPE não confirmada no PBEV: 620CV,alto,regressao_v42_homologada,57,57,88.89,88.89,APROVADO,regressao_protegida,True,gasolina,[],[]
False,2026,True,False,WEY 07 DARK ED.,58,0,exata,0.230556,True,exato,0,True,[],,,10.8,wey_07_versoes_equivalentes,PBEV-2026-0472,True,"marca compatível; família/modelo compatível: WEY; cilindrada compatível; propulsão PHEV compatível; combustível gasolina compatível; acabamento/designação parcialmente compatível: DARK, EDITION; ano PBEV igual ao ano-modelo FIPE; candidato dominante sobre o segundo colocado; turbo FIPE não confirmado no PBEV",alto,regressao_v42_homologada,58,58,90.3,90.3,APROVADO,regressao_protegida,True,phev,"[""WEY07""]",[]
False,2018,True,False,XC40 T5 INSCRIPT T5 MOMENTUM T5 R-DESIGN,120,0,familia,,True,conservador_por_familia,0,True,[],,8.5,,volvo_xc40_composto,PBEV-2018-0449,True,marca compatível; família/modelo compatível: XC40; identificador alfanumérico compatível: XC40; cilindrada compatível; propulsão ICE compatível; combustível gasolina compatível; acabamento/designação parcialmente compatível: MOMENTUM; ano PBEV igual ao ano-modelo FIPE; candidatos tecnicamente equivalentes resolvidos pelo critério conservador autorizado; candidato dominante sobre o segundo colocado; turbo FIPE não confirmado no PBEV; designação comercial FIPE não confirmada no PBEV: 252CV,alto,regressao_v42_homologada,120,648,89.78,89.78,APROVADO,regressao_protegida,True,gasolina,"[""XC40""]","[""XC40""]"
False,2017,True,False,XC60 2.0 T5 INSCRIPTION / 2.0 T5 R-DESIGN,149,0,familia,,True,conservador_por_familia,0,True,[],,8.0,,volvo_xc60_composto,PBEV-2017-0453,True,marca compatível; família/modelo compatível: XC60; identificador alfanumérico compatível: XC60; cilindrada compatível; propulsão ICE compatível; combustível gasolina compatível; ano PBEV igual ao ano-modelo FIPE; candidatos tecnicamente equivalentes resolvidos pelo critério conservador autorizado; candidato dominante sobre o segundo colocado; turbo FIPE não confirmado no PBEV,alto,regressao_v42_homologada,149,648,88.35,88.35,APROVADO,regressao_protegida,True,gasolina,"[""XC60""]","[""XC60""]"
False,2026,True,False,CRETA COMFORT,120,0,exata,,True,exato,0,True,[],8.4,12.0,,hyundai_creta_comfort_tb12v_zero_km,PBEV-2026-0386,True,marca compatível; família/modelo compatível: CRETA; cilindrada compatível; válvulas compatíveis; turbo compatível; transmissão compatível; propulsão ICE compatível; combustível flex compatível; acabamento/designação parcialmente compatível: COMFORT; ano PBEV igual ao ano-modelo FIPE; candidatos tecnicamente equivalentes possuem o mesmo consumo; decisão automática; candidato dominante sobre o segundo colocado,alto,diagnostico_usuario_v38_6,120,483,100.0,107.96,APROVADO,lacuna_corrigida_etapa2,True,flex,[],[]
False,2024,True,False,YARIS SEDÃ XLS (MY 2024),120,0,familia,,True,conservador_por_familia,0,True,[],8.9,12.2,,toyota_yaris_xls_zero_km,PBEV-2024-0152,True,marca compatível; família/modelo compatível: YARIS; cilindrada compatível; válvulas compatíveis; transmissão compatível; propulsão ICE compatível; combustível flex compatível; acabamento/designação parcialmente compatível: XLS; candidatos tecnicamente equivalentes resolvidos pelo critério conservador autorizado; candidato dominante sobre o segundo colocado,alto,caso_obrigatorio_v45,120,507,95.53,95.53,APROVADO,regressao_ampliada_etapa2,True,flex,[],[]
False,2026,True,False,COROLLA CROSS XRX HYBRID,133,0,exata,,True,exato,0,True,[],11.6,16.6,,toyota_corolla_cross_hybrid,PBEV-2026-0194,True,"marca compatível; família/modelo compatível: COROLLA, CROSS; descritor estrutural de modelo compatível; cilindrada compatível; válvulas compatíveis; transmissão compatível; propulsão HEV compatível; combustível flex compatível; acabamento/designação parcialmente compatível: XRX; ano PBEV igual ao ano-modelo FIPE; candidato dominante sobre o segundo colocado",alto,caso_obrigatorio_v45,133,507,100.0,108.67,APROVADO,regressao_ampliada_etapa2,True,hibrido_flex,[],[]
False,2026,True,False,DOLPHIN MINI GS EV,80,0,familia,0.113889,True,conservador_por_familia,0,True,[],,,,byd_dolphin_mini,PBEV-2026-0001,True,"marca compatível; família/modelo compatível: DOLPHIN, MINI; descritor estrutural de modelo compatível; propulsão BEV compatível; combustível eletrico compatível; acabamento/designação parcialmente compatível: MINI; candidatos tecnicamente equivalentes resolvidos pelo critério conservador autorizado; candidato dominante sobre o segundo colocado",alto,caso_obrigatorio_v45,80,80,89.66,89.66,APROVADO,regressao_ampliada_etapa2,True,eletrico,[],[]
False,2026,True,False,TAN AWD GS 700EV,80,0,exata,0.202778,True,exato,0,True,[],,,,byd_tan_ev_4x4,PBEV-2026-0245,True,marca compatível; família/modelo compatível: TAN; tração compatível; propulsão BEV compatível; combustível eletrico compatível; candidato dominante sobre o segundo colocado,alto,caso_obrigatorio_v45,80,80,76.11,76.11,APROVADO,regressao_ampliada_etapa2,True,eletrico,[],[]
